id,name,price,stock,description
1,Sabun Cuci Piring,34000.0,61,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Sabun Cuci Piring.
2,Kaos Polos Hitam,121000.0,20,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Hitam.
3,Sikat Gigi Soft,12500.0,21,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sikat Gigi Soft.
4,Buku Tulis 38 Lbr,17000.0,50,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
5,Deterjen Bubuk 1kg,50000.0,20,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Deterjen Bubuk 1kg.
6,Penggaris 30cm,13500.0,77,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penggaris 30cm.
7,Shampoo Anti-Ketombe,45500.0,49,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Shampoo Anti-Ketombe.
8,Penghapus,12000.0,80,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penghapus.
9,Sabun Mandi Cair,15000.0,133,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Mandi Cair.
10,Celana Jeans Biru,44000.0,123,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Celana Jeans Biru.
11,Susu UHT Cokelat,9000.0,118,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Susu UHT Cokelat.
12,Pulpen Hitam,3000.0,105,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pulpen Hitam.
13,Buku Tulis 38 Lbr,17500.0,49,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
14,Tisu Wajah,59500.0,97,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
15,Roti Tawar,39000.0,134,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Roti Tawar.
16,Sandal Jepit,136000.0,124,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Sandal Jepit.
17,Sandal Jepit,78000.0,36,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Sandal Jepit.
18,Buku Tulis 38 Lbr,4500.0,134,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
19,Tisu Wajah,26500.0,142,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
20,Deterjen Bubuk 1kg,56000.0,44,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Deterjen Bubuk 1kg.
21,Buku Tulis 38 Lbr,16000.0,23,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
22,Sabun Cuci Tangan,15500.0,45,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Cuci Tangan.
23,Biskuit Krim,55500.0,60,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Biskuit Krim.
24,Pensil 2B,4000.0,52,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pensil 2B.
25,Biskuit Krim,59000.0,40,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Biskuit Krim.
26,Kemeja Flanel,143500.0,103,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kemeja Flanel.
27,Sabun Cuci Tangan,30500.0,147,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Sabun Cuci Tangan.
28,Roti Tawar,74500.0,30,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Roti Tawar.
29,Pembersih Lantai,55500.0,34,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Pembersih Lantai.
30,Air Mineral 600ml,39500.0,33,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Air Mineral 600ml.
31,Teh Celup,11500.0,100,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Teh Celup.
32,Pensil 2B,15000.0,124,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pensil 2B.
33,Penghapus,18500.0,37,Alat tulis lengkap untuk sekolah dan kantor. Produk: Penghapus.
34,Tisu Wajah,58000.0,21,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Tisu Wajah.
35,Lampu LED 10W,23500.0,142,Lengkapi kebutuhan rumah tangga Anda agar rumah bersih dan nyaman. Produk: Lampu LED 10W.
36,Pasta Gigi Herbal,34000.0,130,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Pasta Gigi Herbal.
37,Kaos Polos Merah,42000.0,116,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Merah.
38,Kaos Polos Hitam,130000.0,100,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Hitam.
39,Kaos Polos Merah,120000.0,114,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kaos Polos Merah.
40,Pulpen Hitam,14000.0,142,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pulpen Hitam.
41,Buku Tulis 38 Lbr,17500.0,48,Alat tulis lengkap untuk sekolah dan kantor. Produk: Buku Tulis 38 Lbr.
42,Kemeja Flanel,124500.0,97,Pakaian nyaman dan modis untuk segala aktivitas. Produk: Kemeja Flanel.
43,Deodoran Roll-on,22000.0,38,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Deodoran Roll-on.
44,Pensil 2B,8000.0,70,Alat tulis lengkap untuk sekolah dan kantor. Produk: Pensil 2B.
45,Shampoo Anti-Ketombe,27000.0,44,Rawat diri Anda dengan produk kebersihan dan kecantikan terbaik. Produk: Shampoo Anti-Ketombe.
46,Teh Celup,18000.0,139,Produk makanan dan minuman berkualitas untuk kebutuhan harian Anda. Produk: Teh Celup.
